,Column1
0,ID
1,name
2,full_name
3,club
4,club_logo
5,special
6,age
7,league
8,birth_date
9,height_cm
10,weight_kg
11,body_type
12,real_face
13,flag
14,nationality
15,photo
16,eur_value
17,eur_wage
18,eur_release_clause
19,overall
20,potential
21,pac
22,sho
23,pas
24,dri
25,def
26,phy
27,international_reputation
28,skill_moves
29,weak_foot
30,work_rate_att
31,work_rate_def
32,preferred_foot
33,crossing
34,finishing
35,heading_accuracy
36,short_passing
37,volleys
38,dribbling
39,curve
40,free_kick_accuracy
41,long_passing
42,ball_control
43,acceleration
44,sprint_speed
45,agility
46,reactions
47,balance
48,shot_power
49,jumping
50,stamina
51,strength
52,long_shots
53,aggression
54,interceptions
55,positioning
56,vision
57,penalties
58,composure
59,marking
60,standing_tackle
61,sliding_tackle
62,gk_diving
63,gk_handling
64,gk_kicking
65,gk_positioning
66,gk_reflexes
67,rs
68,rw
69,rf
70,ram
71,rcm
72,rm
73,rdm
74,rcb
75,rb
76,rwb
77,st
78,lw
79,cf
80,cam
81,cm
82,lm
83,cdm
84,cb
85,lb
86,lwb
87,ls
88,lf
89,lam
90,lcm
91,ldm
92,lcb
93,gk
94,1_on_1_rush_trait
95,acrobatic_clearance_trait
96,argues_with_officials_trait
97,avoids_using_weaker_foot_trait
98,backs_into_player_trait
99,bicycle_kicks_trait
100,cautious_with_crosses_trait
101,chip_shot_trait
102,chipped_penalty_trait
103,comes_for_crosses_trait
104,corner_specialist_trait
105,diver_trait
106,dives_into_tackles_trait
107,diving_header_trait
108,driven_pass_trait
109,early_crosser_trait
110,fan's_favourite_trait
111,fancy_flicks_trait
112,finesse_shot_trait
113,flair_trait
114,flair_passes_trait
115,gk_flat_kick_trait
116,gk_long_throw_trait
117,gk_up_for_corners_trait
118,giant_throw_in_trait
119,inflexible_trait
120,injury_free_trait
121,injury_prone_trait
122,leadership_trait
123,long_passer_trait
124,long_shot_taker_trait
125,long_throw_in_trait
126,one_club_player_trait
127,outside_foot_shot_trait
128,playmaker_trait
129,power_free_kick_trait
130,power_header_trait
131,puncher_trait
132,rushes_out_of_goal_trait
133,saves_with_feet_trait
134,second_wind_trait
135,selfish_trait
136,skilled_dribbling_trait
137,stutter_penalty_trait
138,swerve_pass_trait
139,takes_finesse_free_kicks_trait
140,target_forward_trait
141,team_player_trait
142,technical_dribbler_trait
143,tries_to_beat_defensive_line_trait
144,poacher_speciality
145,speedster_speciality
146,aerial_threat_speciality
147,dribbler_speciality
148,playmaker_speciality
149,engine_speciality
150,distance_shooter_speciality
151,crosser_speciality
152,free_kick_specialist_speciality
153,tackling_speciality
154,tactician_speciality
155,acrobat_speciality
156,strength_speciality
157,clinical_finisher_speciality
158,prefers_rs
159,prefers_rw
160,prefers_rf
161,prefers_ram
162,prefers_rcm
163,prefers_rm
164,prefers_rdm
165,prefers_rcb
166,prefers_rb
167,prefers_rwb
168,prefers_st
169,prefers_lw
170,prefers_cf
171,prefers_cam
172,prefers_cm
173,prefers_lm
174,prefers_cdm
175,prefers_cb
176,prefers_lb
177,prefers_lwb
178,prefers_ls
179,prefers_lf
180,prefers_lam
181,prefers_lcm
182,prefers_ldm
183,prefers_lcb
184,prefers_gk
